2019-01-17 23:00:00 -0800,leagueclientux,No Details,Entertainment,Games,947
2019-01-17 23:00:00 -0800,league of legends,League of Legends (TM) Client,Entertainment,Games,380
2019-01-17 23:00:00 -0800,github.com,LyonDataViz/MOS5.5-Dataviz - Google Chrome,Software Development,General,321
2019-01-17 23:00:00 -0800,learnxinyminutes.com,No Details,Reference & Learning,Engineering & Technology,252
2019-01-17 23:00:00 -0800,dealabs.com,No Details,Shopping,General,158
2019-01-17 23:00:00 -0800,celio.com,No Details,Shopping,Clothes & Personal,156
2019-01-17 23:00:00 -0800,web.archive.org,Interactive Data Visualization for the Web - Google Chrome,Reference & Learning,Search,121
2019-01-17 23:00:00 -0800,facebook.com,One of the best scene of Friends! - YouTube - Google Chrome,Social Networking,General,115
2019-01-17 23:00:00 -0800,newtab,Nouvel onglet - Google Chrome,Utilities,Browsers,106
2019-01-17 23:00:00 -0800,rescuetime.com,RescueTime - Privacy settings - Google Chrome,Business,Intelligence,81
2019-01-17 23:00:00 -0800,facebook.com,Facebook - Google Chrome,Social Networking,General,60
2019-01-17 23:00:00 -0800,explorer,No Details,Utilities,General,42
2019-01-17 23:00:00 -0800,docs.google.com/#spreadsheets,[MOS-5.5-2018-2019]-Dataviz - Google Sheets - Google Chrome,Business,General,38
2019-01-17 23:00:00 -0800,millenium.org,No Details,Entertainment,Games,38
2019-01-17 23:00:00 -0800,rescuetime.com,RescueTime - Congrats! You are all set up! - Google Chrome,Business,Intelligence,30
2019-01-17 23:00:00 -0800,rescuetime.com,RescueTime - Your Daily dashboard - Google Chrome,Business,Intelligence,29
2019-01-17 23:00:00 -0800,developers.google.com,Inside look at modern web browser (part 1)  |  Web  |  Google Developers - Google Chrome,Software Development,General,25
2019-01-17 23:00:00 -0800,rescuetime.com,No Details,Business,Intelligence,25
2019-01-17 23:00:00 -0800,messagerie.ec-lyon.fr,No Details,Uncategorized,Uncategorized,22
2019-01-17 23:00:00 -0800,chrome.google.com,RescueTime for Chrome and Chrome OS - Chrome Web Store - Google Chrome,Shopping,General,22
2019-01-17 23:00:00 -0800,explorer,G,Utilities,General,21
2019-01-17 23:00:00 -0800,rescuetime,RescueTime,Business,Intelligence,20
2019-01-17 23:00:00 -0800,netlogo,No Details,Software Development,General,18
2019-01-17 23:00:00 -0800,c:,Mohamed Anwar ABOUABDALLAH – Recherche stage de fin d'étude data science ou B.I. : - Google Chrome,Utilities,General,18
2019-01-17 23:00:00 -0800,chrome,No Details,Utilities,Browsers,16
2019-01-17 23:00:00 -0800,rescuetime.com,RescueTime - Setting up your RescueTime application - Google Chrome,Business,Intelligence,13
2019-01-17 23:00:00 -0800,google.com,ekko runes - Recherche Google - Google Chrome,Reference & Learning,Search,13
2019-01-17 23:00:00 -0800,rescuetime.com,RescueTime - Welcome to RescueTime! - Google Chrome,Business,Intelligence,12
2019-01-17 23:00:00 -0800,rescuetime.com,"RescueTime for Firefox, Chrome, and ChromeOS | RescueTime - Google Chrome",Business,Intelligence,12
2019-01-17 23:00:00 -0800,docs.google.com/#spreadsheets,Nouvel onglet - Google Chrome,Business,General,10
2019-01-17 23:00:00 -0800,en.wikipedia.org,Ergot - Wikipedia - Google Chrome,Reference & Learning,General,10
2019-01-17 23:00:00 -0800,web.archive.org,No Details,Reference & Learning,Search,9
2019-01-17 23:00:00 -0800,docs.google.com/#spreadsheets,"Smartphone 5.8"" Samsung Galaxy S8 - QHD+, Exynos 8895, 4 Go de RAM, 64 Go, argent (via ODR de 100€) – Dealabs.com - Google Chrome",Business,General,8
2019-01-17 23:00:00 -0800,shellexperiencehost,No Details,Utilities,General,8
2019-01-17 23:00:00 -0800,rueducommerce.fr,No Details,Shopping,General,7
2019-01-17 23:00:00 -0800,cas.ec-lyon.fr,No Details,Uncategorized,Uncategorized,7
2019-01-17 23:00:00 -0800,system idle process,No Details,Utilities,Other,7
2019-01-17 23:00:00 -0800,9gag.com,No Details,Entertainment,Comedy,7
2019-01-17 23:00:00 -0800,rundll32,Alerte de sécurité Windows,Utilities,General,6
2019-01-17 23:00:00 -0800,mail.google.com,Boîte de réception - zikomoust@gmail.com - Gmail - Google Chrome,Communication & Scheduling,Email,5
2019-01-17 23:00:00 -0800,history,Historique - Google Chrome,Utilities,Browsers,5
2019-01-17 23:00:00 -0800,developers.google.com,Learn javascript in Y Minutes - Google Chrome,Software Development,General,4
2019-01-17 23:00:00 -0800,rescuetime.com,Sans titre - Google Chrome,Business,Intelligence,4
2019-01-17 23:00:00 -0800,developers.google.com,No Details,Software Development,General,4
2019-01-17 23:00:00 -0800,acrord32,SMA_Sujet_TP.pdf - Adobe Acrobat Reader DC,Reference & Learning,General,4
2019-01-17 23:00:00 -0800,newtab,Ergot - Wikipedia - Google Chrome,Utilities,Browsers,3
2019-01-17 23:00:00 -0800,web.archive.org,Sans titre - Google Chrome,Reference & Learning,Search,3
2019-01-17 23:00:00 -0800,rescuetimeinstaller.tmp,No Details,Utilities,General,3
